杀破狼·贪狼,剧情/动作 ,叶伟信 Wilson Yip ,古天乐 Louis Koo,"7.4/10 from 50,863 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:3024/[阳光电影www.ygdy8.net].杀破狼·贪狼.BD.720p.国粤双语中字.mkv
暴雪将至,剧情/犯罪/悬疑 ,董越 Yue Dong ,段奕宏 Yihong Duan,"7.2/10 from 23,879 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:8091/[阳光电影www.ygdy8.net].暴雪将至.HD.1080p.国语中字.mp4
美容针,喜剧/爱情 ,黄美娜 Meina Huang ,闫妮 Ni Yan, ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8088/[阳光电影www.ygdy8.net].美容针.HD.720p.国语中字.mkv
缝纫机乐队,喜剧/音乐 ,大鹏 Da Peng ,大鹏 Da Peng,"7.0/10 from 61,048 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:6049/[阳光电影www.ygdy8.net].缝纫机乐队.HD.720p.国语中字.mkv
常在你左右,犯罪/悬疑 ,邱礼涛 Herman Yau ,古天乐 Louis Koo,"5.2/10 from 3,023 users ",ftp://ygdy8:ygdy8@yg72.dydytt.net:7009/[阳光电影www.ygdy8.net].常在你左右.HD.1080p.国粤双语中字.mkv
血战湘江,历史/战争 ,陈力 Li Chen ,王霙 Ying Wang, ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7087/[阳光电影www.ygdy8.net].血战湘江.HD.720p.国语中字.mkv
红衣小女孩2,惊悚/恐怖 ,程伟豪 Wei-hao Cheng ,杨丞琳 Rainie Yang,7.2/10 from 204 users ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7008/[阳光电影www.ygdy8.net].红衣小女孩2.BD.720p.国语中字.mkv
镇魂法师,动作/奇幻/武侠/古装 ,项秋良 Qiuliang Xiang ,吴千语 Karena Ng,5.8/10 from 49 users ,ftp://ygdy8:ygdy8@yg45.dydytt.net:4022/[阳光电影www.ygdy8.net].镇魂法师.HD.720p.国语中字.mkv
宝贝特攻,喜剧/动作 ,杨建 Jian Yang ,方力申 Lik-Sun Fong, ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8098/[阳光电影www.ygdy8.net].宝贝特攻.HD.720p.国语中字.mkv
相爱相亲,剧情/爱情 ,张艾嘉 Sylvia Chang ,张艾嘉 Sylvia Chang,"8.6/10 from 33,038 users ",ftp://ygdy8:ygdy8@yg72.dydytt.net:8097/[阳光电影www.ygdy8.net].相爱相亲.HD.720p.国语中字.mkv
胡杨的夏天,喜剧/爱情 ,朱时茂 Shimao Zhu ,朱一龙 Yilong Zhu,5.4/10 from 433 users ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8094/[阳光电影www.ygdy8.net].胡杨的夏天.HD.720p.国语中字.mkv
战狼2/新战狼,动作 ,吴京 Jacky Wu ,吴京 Jacky Wu,"7.4/10 from 398,076 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:4019/[阳光电影www.ygdy8.net].战狼2.BD.720p.国语中英双字幕.mkv
王牌特工2：黄金圈,喜剧/动作/冒险 ,马修&middot;沃恩 Matthew Vaughn ,塔伦&middot;埃格顿 Taron Egerton,"7.2/10 from 110,209 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:5015/[阳光电影www.ygdy8.net].王牌特工2：黄金圈.BD.720p.中英双字幕.mkv
空天猎/霸天狼,剧情/动作/战争 ,李晨 Chen Li ,李晨 Chen Li,"5.0/10 from 29,347 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:3018/[阳光电影www.ygdy8.com].空天猎.HD.1080p.国语中字.mp4
重返·狼群,纪录片 ,亦风 Yi Feng ,李微漪 Weiyi Li,"8.2/10 from 8,356 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:8074/[阳光电影www.ygdy8.com].重返·狼群.HD.720p.国语中字.mkv
悟空传,剧情/动作/奇幻 ,郭子健 Derek Kwok Chi-kin ,彭于晏 Eddie Peng,"5.4/10 from 84,353 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:4013/[阳光电影www.ygdy8.com].悟空传.BD.720p.国粤双语中字.mkv
西谎极落之太爆太子太空舱,喜剧 ,吴汉邦 / 吴兆麟 ,周柏豪 Pakho Chau,"6.2/10 from 2,184 users ",ftp://ygdy8:ygdy8@yg72.dydytt.net:8081/[[阳光电影www.ygdy8.com].西谎极落之太爆太子太空舱.BD.720p.国粤双语中字.mkv
京城81号2,剧情/悬疑/惊悚 ,钱人豪 Jen-hao Chie ,张智霖 Julian Cheung,"3.9/10 from 15,040 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:6042/[阳光电影www.ygdy8.com].京城81号2.BD.720p.国粤双语中字.mkv
战狼2/新战狼,动作 ,吴京 Jacky Wu ,吴京 Jacky Wu,"7.4/10 from 398,076 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:7070/[阳光电影www.ygdy8.com].战lang2.HD.720p.国语中字.mkv
私人会所,剧情 ,颜米羔 ,冯海锐,4.3/10 from 237 users ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7068/[阳光电影www.ygdy8.com].私人会所.BD.720p.国粤双语中字.mkv
初恋日记,爱情 ,叶曦 Crosby Yip ,王敏奕 Venus Wong,5.7/10 from 231 users ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7066/[阳光电影www.ygdy8.com].初恋日记.HD.720p.国粤双语中字.mkv
侠盗联盟,动作/冒险 ,冯德伦 Stephen Fung ,刘德华 Andy Lau,"5.6/10 from 19,372 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:5009/[阳光电影www.ygdy8.com].侠盗联盟.BD.720p.国粤双语中字.mkv
杀破狼·贪狼,剧情/动作 ,叶伟信 Wilson Yip ,古天乐 Louis Koo,"7.4/10 from 50,863 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:6038/[阳光电影www.ygdy8.com].杀破狼·贪狼.HD.720p.国语中字.mkv
报告老师！怪怪怪怪物！,剧情/惊悚 ,九把刀 Giddens Ko ,邓育凯 Yu Kai Teng,7.3/10 from 265 users ,ftp://ygdy8:ygdy8@yg45.dydytt.net:3006/[阳光电影www.ygdy8.com].报告老师！怪怪怪怪物！.HD.720p.国语中字.rmvb
会痛的十七岁,爱情 ,彭发 Danny Pang ,徐娇 Jiao Xu, ,ftp://ygdy8:ygdy8@yg45.dydytt.net:6037/[阳光电影www.ygdy8.com].会痛的十七岁.HD.1080p.国语中字.mp4
大内特工队,喜剧/悬疑 ,戴希帆 Xifan Dai ,何文辉 Wenhui He, ,ftp://ygdy8:ygdy8@yg45.dydytt.net:5007/[阳光电影www.ygdy8.com].大内特工队.HD.720p.国语中字.mkv
侠盗联盟,动作/冒险 ,冯德伦 Stephen Fung ,刘德华 Andy Lau,"5.6/10 from 19,372 users ",ftp://ygdy8:ygdy8@yg72.dydytt.net:8071/[阳光电影www.ygdy8.com].侠dao聯盟.HD.720p.国粤双语中字.mkv
黑白迷宫,剧情/动作/犯罪 ,阚家伟 Jia Wei Kan ,任达华 Simon Yam,"4.8/10 from 3,214 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:4003/[阳光电影www.ygdy8.com].黑白迷宫.HD.720p.国粤双语中字.mkv
心理罪大电影,动作/犯罪/悬疑,谢东燊 Dongshen Xie, ,"5.3/10 from 51,567 users",ftp://ygdy8:ygdy8@yg90.dydytt.net:7001/[阳光电影www.ygdy8.com].心理罪.HD.720p.国语中字.mkv
破·局,动作/犯罪,连奕琦 Yi-chi Lien, ,"6.6/10 from 14,142 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8067/[阳光电影www.ygdy8.com].破·局.HD.720p.国语中字.mkv
我的女神女汉子,喜剧/爱情,林琛 Chen Lin / 徐笑文 Xiaowen Xu, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8066/[阳光电影www.ygdy8.com].我的女神女汉子.HD.720p.国语中字.mkv
胆小别看,悬疑/惊悚,杜育沛, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8065/[阳光电影www.ygdy8.com].胆小别看.HD.720p.国语中字.mkv
恐怖理发店,爱情/悬疑/惊悚,陆诗雷 Shilei Lu, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7057/[阳光电影www.ygdy8.com].恐怖理发店.HD.720p.国语中字.mkv
失恋399年,剧情/喜剧/爱情,吴吞 Tun Wu, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:6030/[阳光电影www.ygdy8.com].失恋399年.HD.720p.国语中字.mkv
勇士之门,动作/奇幻/冒险,马蒂亚斯&middot;霍恩 Matthias Hoene, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8064/[无极电影-www.wujidy.com].勇士之门.BD.720p.中英双字幕.mkv
明月几时有,剧情/历史/战争,许鞍华 Ann Hui, ,"7.1/10 from 27,697 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:5001/[阳光电影www.ygdy8.com].明月几时有.BD.720p.国粤双语中字.mkv
十万个冷笑话2,喜剧/动画/奇幻,卢恒宇 Hengyu Lu / 李姝洁 Shujie Li, ,"7.7/10 from 23,764 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:3001/[阳光电影www.ygdy8.com].十万个冷笑话2.HD.720p.国语中字.mkv
二次初恋,喜剧/爱情/奇幻,戴玮 Wei Dai, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8062/[阳光电影www.ygdy8.com].二次初恋.HD.720p.国语中字.mkv
茶盗,剧情/动作,潘富荣 Furong Pan, , ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8213/[阳光电影www.ygdy8.com].茶盗.HD.720p.国语中字.mkv
三缺一,剧情/爱情,高飞 Fabien Gaillard, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7003/[阳光电影www.ygdy8.com].三缺一.HD.720p.国语中字.mkv
建军大业,剧情/历史,刘伟强 Andrew Lau, ,4.2/10 from 216 users,ftp://ygdy8:ygdy8@yg45.dydytt.net:7055/[阳光电影www.ygdy8.com].建军大业.BD.720p.国语中字.mkv
请勿靠近,悬疑/惊悚,张显, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8060/[阳光电影www.ygdy8.com].请勿靠近.HD.720p.国语中字.mkv
游戏规则,剧情/动作,高希希 Xixi Gao, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7001/[阳光电影www.ygdy8.com].游戏规则.BD.720p.国语中字.mkv
缉枪,剧情/动作/犯罪 ,徐兵 Bing Xu ,白举纲 Congo Pax,"6.4/10 from 2,542 users ",ftp://ygdy8:ygdy8@yg45.dydytt.net:8054/[阳光电影www.ygdy8.com].缉枪.HD.720p.国语中字.mkv
大护法/大护法之黑花生,动画/奇幻/冒险,不思凡 Bu Si Fan, ,"8.0/10 from 102,732 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8058/[阳光电影www.ygdy8.com].大护法.HD.720p.国语中字.mkv
秘果,爱情,连奕琦 Yi-chi Lien, ,"5.0/10 from 2,360 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:8053/[阳光电影www.ygdy8.com].秘果.HD.720p.国语中字.mkv
闪光少女,喜剧/音乐,王冉 Ran Wang, ,"7.5/10 from 30,599 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:6022/[阳光电影www.ygdy8.com].闪光少女.HD.720p.国语中字.mkv
喵星人,喜剧/奇幻,陈木胜 Benny Chan, ,"4.4/10 from 4,022 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:6021/[阳光电影www.ygdy8.com].喵星人.BD.720p.国粤双语中字.mkv
夜色撩人/月色撩人,剧情/犯罪/悬疑,夏钢 Gang Xia, ,"4.9/10 from 1,574 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8056/[阳光电影www.ygdy8.com].夜色撩人.HD.720p.国语中字.mkv
玩偶奇兵,动画/奇幻/冒险,申宇 Yu Shen / 黄燕 Yan Huang, ,5.2/10 from 446 users,ftp://ygdy8:ygdy8@yg45.dydytt.net:6019/[阳光电影www.ygdy8.com].玩偶奇兵.HD.720p.国语中字.mkv
阿唐奇遇,动画/冒险/家庭,王微 Gary Wang, ,"7.2/10 from 2,974 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:7050/[阳光电影www.ygdy8.com].阿唐奇遇.HD.720p.国语中字.mkv
一路逆风/邓紫棋成长记,纪录片/音乐,尼克&middot;维克汉姆 Nick Wickham, ,"4.5/10 from 1,994 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8055/[阳光电影www.ygdy8.com].一路逆风.BD.720p.国语中字.mkv
反转人生,喜剧/奇幻,伍仕贤 Dayyan Eng, ,"5.5/10 from 14,589 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:7049/[阳光电影www.ygdy8.com].反转人生.HD.720p.国语中字.rmvb
明月几时有,剧情/历史/战争,许鞍华 Ann Hui, ,"7.1/10 from 27,697 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8054/[阳光电影www.ygdy8.com].明月几时有.HD.720p.国粤双语中字.mkv
原谅他77次,爱情/喜剧,邱礼涛 Herman Yau, , ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8210/[阳光电影www.ygdy8.com].原谅他77次.BD.720p.国粤双语中字.mkv
明月几时有,剧情/历史/战争,许鞍华 Ann Hui, ,"7.1/10 from 27,697 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:6016/[阳光电影www.ygdy8.com].明月几时有.HD.720p.国语中字.mkv
我是马布里,剧情/运动,杨子 Larry Yang, ,"6.5/10 from 2,139 users",ftp://ygdy8:ygdy8@yg90.dydytt.net:8208/[阳光电影www.ygdy8.com].我是马布里.HD.720p.中字.mkv
最完美的女孩,悬疑/惊悚,金沛辰 Remus Kam, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7045/[阳光电影www.ygdy8.com].最完美的女孩.HD.720p.国语中字.mkv
父子雄兵/父子魂斗罗,剧情/喜剧,袁卫东 Weidong Yuan, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7044/[阳光电影www.ygdy8.com].父子雄兵.HD.720p.国语中字.mkv
京城81号2,剧情/悬疑/惊悚,钱人豪 Jen-hao Chie, ,"4.0/10 from 10,441 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8050/[阳光电影www.ygdy8.com].京城81号2.HD.720p.国语中字.mkv
鲛珠传,喜剧/动作/爱情/奇幻,杨磊 Lei Yang, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7041/[阳光电影www.ygdy8.com].鲛珠传.HD.720p.国语中字.mkv
荡寇风云/战神戚继光,传记/动作/历史/战争/古装,陈嘉上 Gordon Chan, ,"6.2/10 from 5,003 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:6013/[阳光电影www.ygdy8.com].荡寇风云.BD.720p.国粤双语中字.mkv
三生三世十里桃花,爱情/奇幻,赵小丁 Xiaoding Zhao / 安东尼&middot;拉默里纳拉 Anthony LaMolinara, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8045/[阳光电影www.ygdy8.com].三生三世十里桃花.HD.720p.国语中字.mkv
绣春刀II：修罗战场/绣春刀2,剧情/动作/武侠/古装,路阳 Yang Lu, ,"7.5/10 from 106,606 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:6012/[阳光电影www.ygdy8.com].绣春刀II：修罗战场.HD.720p.国语中字.mkv
原谅他77次,爱情/喜剧,邱礼涛 Herman Yau, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8042/[阳光电影www.ygdy8.com].原谅他77次.HD.720p.国语中字.mkv
失眠,恐怖,邱礼涛 Herman Yau, ,6.2/10 from 141 users,ftp://ygdy8:ygdy8@yg45.dydytt.net:7036/[阳光电影www.ygdy8.com].失眠.BD.720p.国粤双语中字.mkv
青禾男高,剧情/动作,蒋卓原 Zhuoyuan Jiang, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:6003/[阳光电影www.ygdy8.com].青禾男高.HD.720p.国语中字.mkv
我老婆不是人,喜剧/悬疑,陈德森, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7034/[阳光电影www.ygdy8.com].我老婆不是人.HD.720p.粤语中字.mkv
吉星拱照/吉星高照,喜剧,杜琪峰 Johnnie To, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8034/[阳光电影www.ygdy8.com].吉星拱照.HD.720p.粤语中字.mkv
拆弹专家,动作/犯罪/悬疑,邱礼涛 Herman Yau, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8037/[阳光电影www.ygdy8.com].拆弹专家.BD.720p.国粤双语中字.mkv
箭士柳白猿,剧情/武侠/古装,徐浩峰 Haofeng Xu, ,"7.2/10 from 32,221 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:6002/[阳光电影www.ygdy8.com].箭士柳白猿.HD.720p.国语中字.mkv
极乐宿舍,喜剧,林世勇 Hero Lin, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8031/[阳光电影www.ygdy8.com].极乐宿舍.HD.720p.国语中字.mkv
算死草,喜剧/剧情,马伟豪, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7032/[阳光电影www.ygdy8.com].算死草.HD.720p.国语中字.mkv
儿子老子,剧情/家庭,安邦, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:6001/[阳光电影www.ygdy8.com].儿子老子.HD.720p.国语中字.mkv
跟踪,犯罪/惊悚,游乃海 Nai-Hoi Yau, ,"7.1/10 from 21,977 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:7031/[阳光电影www.ygdy8.com].跟踪.BD.720p.国粤双语中字.mkv
目击者之追凶,犯罪/悬疑/惊悚,程伟豪 Wei-hao Cheng, ,7.4/10 from 228 users,ftp://ygdy8:ygdy8@yg45.dydytt.net:7030/[阳光电影www.ygdy8.com].目击者之追凶.BD.720p.国语中字.mkv
绝世高手,喜剧/动作,卢正雨 Zhengyu Lu, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8029/[阳光电影www.ygdy8.com].绝世高手.HD.720p.国语中字.mkv
春娇救志明/志明与春娇3,剧情/喜剧/爱情,彭浩翔 Ho-Cheung Pang, ,"7.5/10 from 58,668 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:7029/[阳光电影www.ygdy8.com].春娇救志明.BD.720p.国粤双语中字.mkv
倚天屠龙记之魔教教主,动作/武侠/古装,王晶 Wong Jing, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8027/[阳光电影www.ygdy8.com].倚天屠龙记之魔教教主.BD.720p.国粤双语中字.mkv
玩谢大师,喜剧,蓝兆基, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8026/[阳光电影www.ygdy8.com].玩谢大师.BD.720p.粤语中字.mkv
生化药尸/天师救僵,喜剧/动作/惊悚,梁嘉铭, , ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8204/[阳光电影www.ygdy8.com].生化药尸.HD.720p.国语中字.mkv
冈仁波齐,剧情,张扬 Yang Zhang, ,"7.7/10 from 46,110 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:7024/[阳光电影www.ygdy8.com].冈仁波齐.HD.720p.中文字幕.mkv
52赫兹，我爱你,爱情/音乐,魏德圣 Te-Sheng Wei, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7022/[阳光电影www.ygdy8.com].52赫兹，我爱你.BD.720p.国语中字.mkv
逆时营救,动作/科幻,尹鸿承 Chang, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7020/[阳光电影www.ygdy8.com].逆时营救.HD.720p.国语中字.mkv
师父/师傅,剧情/动作/武侠,徐浩峰 Haofeng Xu, ,"8.1/10 from 138,157 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:8020/[阳光电影www.ygdy8.com].师父.BD.720p.国语中字.mkv
同囚,剧情,黄国权 Kwok Kuen Wong, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8018/[阳光电影www.ygdy8.com].同囚.BD.720p.国粤双语中字.mkv
仙球大战/蹴鞠,喜剧,刘镇伟 Jeffrey Lau, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8029/[阳光电影www.ygdy8.com].仙球大战.HD.720p.国语中字.mkv
目击者之追凶,犯罪/悬疑/惊悚,程伟豪 Wei-hao Cheng, ,7.4/10 from 228 users,ftp://ygdy8:ygdy8@yg45.dydytt.net:7018/[阳光电影www.ygdy8.com].目击者之追凶.HD.720p.国语中字.mkv
我心雀跃,剧情,刘紫微 Ziwei Liu, ,"6.7/10 from 1,811 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8028/[阳光电影www.ygdy8.com].我心雀跃.HD.720p.国语中字.mkv
指甲刀人魔,喜剧/爱情,关智耀 Jason Kwan Chi-Yiu, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8017/[阳光电影www.ygdy8.com].指甲刀人魔.BD.720p.国语中字.mkv
记忆大师,剧情/犯罪/悬疑/惊悚,陈正道 Leste Chen, ,"7.3/10 from 89,671 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:8015/[无极电影-www.wujidy.com].记忆大师.HD.720p.国语中字.mkv
无罪之城,动作/犯罪,尹晨阳, ,6.0/10 from 178 users,ftp://ygdy8:ygdy8@yg45.dydytt.net:7015/[无极电影-www.wujidy.com].无罪之城.HD.720p.国语中字.mkv
一念无明,剧情,黄进 Chun Wong, ,"8.0/10 from 18,017 users",ftp://ygdy8:ygdy8@yg45.dydytt.net:7012/[阳光电影www.ygdy8.com].一念无明.HD.720p.粤语中字.mkv
台北物语,剧情/犯罪,黃英雄, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8026/[阳光电影www.ygdy8.com].台北物语.HD.720p.国语中字.mkv
忠爱无言/老人与狗,剧情,谈宜之 Yizhi Tan, ,"7.3/10 from 7,156 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8025/[阳光电影www.ygdy8.com].忠爱无言.HD.720p.国语中字.mkv
我们停战吧,剧情/爱情,陆天华, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8024/[阳光电影www.ygdy8.com].我们停战吧.BD.720p.国粤双语中字.mkv
美好的意外,喜剧/奇幻,何蔚庭 Wi Ding Ho, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7008/[阳光电影www.ygdy8.com].美好的意外.HD.720p.国语中字.mkv
“吃吃”的爱,喜剧/爱情/奇幻,蔡康永 Kevin Tsai, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8023/[阳光电影www.ygdy8.com].“吃吃”的爱.HD.720p.国语中字.mkv
最后的武林,喜剧/武侠,霍德强, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:8046/[阳光电影www.ygdy8.com].最后的武林.HD.720p.国语中字.mkv
富贵吉祥,喜剧,冼杞然, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:7046/[阳光电影www.ygdy8.com].富贵吉祥.HD.720p.粤语中字.mkv
29+1,剧情,彭秀慧 Kearen Pang, ,"7.4/10 from 2,558 users",ftp://ygdy8:ygdy8@yg72.dydytt.net:8021/[阳光电影www.ygdy8.com].29+1.HD.720p.国粤双语中字.mkv
临时演员,喜剧/爱情,钱江汉 Chin Cub, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:7001/[阳光电影www.ygdy8.com].临时演员.HD.720p.国语中字.mkv
水浒笑传,喜剧,高志森 Clifton Ko, , ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8001/[阳光电影www.ygdy8.com].水浒笑传.HD.720p.粤语中字.mkv
毒。诫,剧情/动作/犯罪,刘国昌 Lawrence Ah Mon, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:8044/[阳光电影www.ygdy8.com].毒。诫.BD.720p.国粤双语中字.mkv
麻烦家族, ,黄磊 Lei Huang, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8017/[阳光电影www.ygdy8.com].麻烦家族.HD.720p.国语中字.mkv
毒。诫,剧情/动作/犯罪,刘国昌 Lawrence Ah Mon, , ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8016/[阳光电影www.ygdy8.com].毒。诫.HD.720p.国粤双语中字.mkv
至尊无上之永霸天下,动作/犯罪/剧情,杜琪峰 Johnnie To, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:8042/[阳光电影www.ygdy8.com].至尊无上之永霸天下.HD.720p.粤语中字.mkv
天与地,剧情,黎大炜 David Lai, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:7041/[阳光电影www.ygdy8.com].天与地.HD.720p.粤语中字.mkv
义胆红唇,动作,孙仲, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:8040/[阳光电影www.ygdy8.com].义胆红唇.HD.720p.粤语中字.mkv
情圣,喜剧,李力持 Lik-Chi Lee, , ,ftp://ygdy8:ygdy8@y219.dydytt.net:8286/[阳光电影www.ygdy8.com].情圣.HD.720p.国语中字.mkv
猛龙,动作/犯罪,李仁港 Daniel Lee, , ,ftp://ygdy8:ygdy8@y219.dydytt.net:9285/[阳光电影www.ygdy8.com].猛龙.HD.720p.国语中字.mkv
绝命循环,悬疑/惊悚,余斌, , ,ftp://ygdy8:ygdy8@yg37.dydytt.net:8038/[阳光电影www.ygdy8.com].绝命循环.HD.720p.国语中字.mkv
